


# This file contains the master records for the reading & meaning fields
# of the dictionary. For a better overview and to make it easier to obtain
# non-contradictory data for character variants, it is organized by variant
# groups, with the biggest groups coming first and the characters without
# variants (within the selected gamut of slightly shy of 10000 characters)
# come last. This grouping is a mere convenience; should variant groups be
# modified, changes should be manually made to this file.

# A number of variant groups has been marked `@sync`, followed by the characters
# in that group. In synchronized character groups, the first character in the
# argument to `@sync` is the lead character, which means that all fields for
# the other characters inherit the value given for the lead character in the
# respective field, unless an explicit value is given for the variant. Such
# an explicit value can be given literally or symbolically; where no value should
# appear, the field value has been set to `@null`.

# ⒸⒿⓀⓉⒽⓂ

# Since combining diacritics often don't display well and are difficult to copy-and-paste
# correctly, readings with the pinyin vowel ê have been transcribed with numerical tones
# as ê1, ê2, ê3, ê4.


#------------------------------------------------------------------------------------------------------------
# 表意文字空格
# removed as it is punctuation
u-cjk/528d	劍	hi:つるぎ
u-cjk/528d	劍	hg:검
u-cjk/528d	劍	gloss:sword, dagger, saber

@glyphs	辨弁辯辩瓣
u-cjk/8fa8	辨	py:biàn
u-cjk/74e3	瓣	py:bàn
u-cjk/8fa8	辨	ka:ベン
u-cjk/8fa8	辨	hg:변, 반
u-cjk/8fa8	辨	gloss:distinguish, discriminate
u-cjk/5f01	弁	gloss:men's cap in ancient time; foreword
u-cjk/8faf	辯	gloss:dispute, argue, debate, discuss
u-cjk/8fa9	辩	gloss:dispute, argue, debate, discuss
u-cjk/74e3	瓣	gloss:petal; segment

@glyphs	讚贊賛赞讃
u-cjk/8b9a	讚	py:zàn
u-cjk/8b9a	讚	ka:サン
u-cjk/8d0a	贊	hi:たす·ける
u-cjk/8cdb	賛	hi:たす·ける
u-cjk/8d5e	赞	hi:たす·ける
u-cjk/8b9a	讚	hi:ほ·める
u-cjk/8b9a	讚	hg:찬
u-cjk/8b9a	讚	gloss:help, support; praise, commend; eulogize

@glyphs	曆历歷暦歴
u-cjk/66c6	曆	py:lì
u-cjk/66c6	曆	ka:レキ
u-cjk/66c6	曆	hi:こよみ
u-cjk/6b74	歴	hi:@null
u-cjk/6b77	歷	hi:@null
u-cjk/66c6	曆	hg:력
u-cjk/66c6	曆	gloss:calendar
u-cjk/66a6	暦	gloss:calendar
u-cjk/5386	历	gloss:to experience; history; calendar
u-cjk/6b77	歷	gloss:to experience; history
u-cjk/6b74	歴	gloss:to experience; history

@glyphs	台檯枱臺颱
u-cjk/53f0	台	py:tái, tāi
u-cjk/81fa	臺	py:tái
u-cjk/6aaf	檯	py:tái
u-cjk/67b1	枱	py:tái
u-cjk/98b1	颱	py:tái
u-cjk/81fa	臺	ka:ダイ, タイ
u-cjk/53f0	台	ka:ダイ, タイ
u-cjk/98b1	颱	ka:タイ
u-cjk/6aaf	檯	ka:@null
u-cjk/67b1	枱	ka:@null
u-cjk/53f0	台	hi:うてな
u-cjk/6aaf	檯	hi:@null
u-cjk/67b1	枱	hi:@null
u-cjk/98b1	颱	hi:@null
u-cjk/53f0	台	hg:대, 태
u-cjk/98b1	颱	hg:태
u-cjk/6aaf	檯	hg:@null
u-cjk/67b1	枱	hg:@null
u-cjk/53f0	台	gloss:stage, platform; unit; table, desk; Taiwan
u-cjk/6aaf	檯	gloss:table, desk
u-cjk/67b1	枱	gloss:table, desk
u-cjk/81fa	臺	gloss:stage, platform; unit; Taiwan
u-cjk/98b1	颱	gloss:taiphoon

@glyphs	綠氯绿緑菉
u-cjk/7da0	綠	py:lǜ
u-cjk/6c2f	氯	py:lǜ
u-cjk/7eff	绿	py:lǜ
u-cjk/7dd1	緑	py:lǜ
u-cjk/83c9	菉	py:lù, lǜ
u-cjk/7da0	綠	ka:リョク, ロク
u-cjk/7dd1	緑	ka:リョク, ロク
u-cjk/83c9	菉	ka:リョク, ロク
u-cjk/7da0	綠	hi:みどり
u-cjk/7dd1	緑	hi:みどり
u-cjk/83c9	菉	hi:かりやす
u-cjk/7da0	綠	hg:록
u-cjk/7dd1	緑	hg:록
u-cjk/83c9	菉	hg:록
u-cjk/7da0	綠	gloss:green; chlorine
u-cjk/6c2f	氯	gloss:chlorine
u-cjk/7eff	绿	gloss:green; chlorine
u-cjk/7dd1	緑	gloss:green; chlorine
u-cjk/83c9	菉	gloss:the green bamboo; greenish bamboo

@glyphs	嚙啮齧囓噛
u-cjk/5699	嚙	py:niè
u-cjk/556e	啮	py:niè
u-cjk/9f67	齧	py:niè
u-cjk/56d3	囓	py:niè
u-cjk/565b	噛	py:niè
u-cjk/5699	嚙	ka:コウ, ゴウ
u-cjk/556e	啮	ka:ゴウ
u-cjk/9f67	齧	ka:ゲツ, ケツ
u-cjk/56d3	囓	ka:ゲツ, ケツ
u-cjk/565b	噛	ka:コウ, ゴウ
u-cjk/5699	嚙	hi:か·(む|じる)
u-cjk/556e	啮	hi:かじる, かみ
u-cjk/9f67	齧	hi:かじ·る, か·む
u-cjk/56d3	囓	hi:かじ·る, か·む
u-cjk/565b	噛	hi:か·(む|じる)
u-cjk/5699	嚙	hg:교
u-cjk/9f67	齧	hg:설
u-cjk/56d3	囓	hg:설, 녈
u-cjk/565b	噛	hg:교
u-cjk/5699	嚙	gloss:bite, gnaw
u-cjk/556e	啮	gloss:bite, gnaw
u-cjk/9f67	齧	gloss:bite, gnaw; wear down, erode
u-cjk/56d3	囓	gloss:gnaw
u-cjk/565b	噛	gloss:bite, gnaw

@glyphs	壇坛罈壜罎
u-cjk/58c7	壇	py:tán
